word,count
revesby,3
b. aarons,3
ford,3
keating,3
gazebo,3
fringe network,3
kanak,3
[ negatives,3
nlp overseas debt seminar,3
alf watt,3
anti-bases,3
's federation,3
bring,3
boys home,3
martha ansara,3
hunger strikers,3
sellers,3
large crowd,3
adelaide includes,3
video,3
bris,3
lecture hall,3
jim mcclelland,3
roberto florez,3
freeways,3
rob durbridge,3
garbage,3
hungry,3
bill britton,3
ernie boatswain,3
city views,3
b.w.i.u,3
seamans,3
siamese,3
[ building,3
don mcdonald,3
billy craigie,3
campaign against conscription,3
mike jones,3
quilapayun,3
journalists,3
association strike,3
harbour,3
john,3
jack,3
electrical trades,3
olympic boycott,3
swarc,3
green party,3
sydney cricket ground,3
aboriginals,3
passport,3
kirribilli,3
sir roden cutler,3
fijian,3
mosman,3
war meeting,3
leo martin,3
meetings,3
xpt,3
penal powers,3
nuke,3
various speakers,3
's community health,3
public education,3
petra kelly,3
bronte,3
conscientious objector,3
rainforest,3
bill,3
retired waterside,3
free demonstration,3
dennis brutus,3
moses moyekisn,3
panel,3
kay smith,3
tribune stand,3
shipping,3
tram,3
dockyard,3
railway station,3
copies,3
yeo,3
prof. e. wheelwright,3
joy ross,3
revolution,3
imperialism,3
shop stewards,3
sydney morning herald,3
counihan,3
federation demonstration,3
coal loader,3
railway workers,3
mothers,3
rejected,3
federation auditorium,3
sydney harbour bridge,3
anti-nuclear,3
bowraville,3
trades may,3
n't register,3
working,3
dave clark,3
election rally,3
female,3
basic wage,3
nsw includes,3
child care,3
young labor,3
lidcombe,3
wynyard pk,3
newington,3
pagewood,3
greek political prisoners,3
wage case,3
racial segregation,3
harry hall,3
sydney may day,3
alan outhred,3
guatemala,3
shelter,3
miners strike,3
international year,3
joy balazo,3
's sake,3
a. calwell,3
st cath,3
freney,3
smoke,3
floosy,3
aeu,3
betty collins,3
milk bottle,3
youth parliament,3
saigon,3
ase,3
harold mather,3
o'connor,3
martin pitt,3
laurie short,3
sports ground,3
antil,3
w.,3
a.i.s,3
may day march,3
broadway,3
sandra wilson,3
students representative council,3
sandra mcguinness,3
cat,3
barry robertson,3
squeaker,3
's election rally meeting,3
franklin,3
jack clare,3
international trade fair,3
tooth,3
stan moran,3
wharf,3
whaling fleet,3
askin,3
possibly,3
isa,3
geese,3
